Rank,Name,Share,Last month's,Last year's
,,,share,share
1,C,17.67%,15.87%,16.83%
2,Java,14.72%,15.45%,20.38%
3,Objective-C,8.23%,8.52%,9.22%
4,C++,6.77%,7.54%,7.91%
5,Basic,5.46%,5.96%,7.59%
6,PHP,4.40%,4.14%,4.25%
7,Python,3.66%,3.36%,3.62%
8,C#,3.27%,3.44%,4.60%
9,Perl,2.57%,2.46%,2.46%
10,Ruby,1.92%,1.39%,1.58%
11,Pascal,1.27%,1.32%,1.12%
12,JavaScript,1.20%,1.31%,1.42%
13,Ada,1.12%,1.22%,0.94%
14,R,1.09%,1.14%,1.23%
15,Lisp/Scheme,0.88%,0.81%,0.54%
16,Logo,0.87%,0.85%,0.65%
17,COBOL,0.86%,0.79%,0.54%
18,Fortran,0.80%,0.81%,0.62%
19,MATLAB,0.78%,0.78%,0.45%
20,Forth,0.76%,0.79%,0.31%
21,D,0.63%,0.60%,1.14%
22,Bourne shell,0.61%,0.82%,0.69%
23,Go,0.60%,0.56%,0.71%
24,Prolog,0.60%,0.65%,0.37%
25,Haskell,0.60%,0.52%,0.40%
26,Scala,0.59%,0.37%,0.23%
27,Erlang,0.57%,0.68%,0.27%
28,Delphi,0.56%,0.63%,0.83%
29,PL/SQL,0.53%,0.56%,0.39%
30,APL,0.52%,0.53%,0.36%
31,SAS,0.51%,0.53%,0.44%
32,LabView,0.49%,0.44%,0.13%
33,NXT-G,0.42%,0.44%,0.32%
34,Lua,0.40%,0.42%,0.55%
35,ABAP,0.38%,0.43%,0.21%
36,Smalltalk,0.37%,0.36%,0.36%
37,Oberon,0.35%,0.27%,0.11%
38,ABC,0.32%,0.32%,0.31%
39,Scratch,0.31%,0.35%,0.32%
40,Dart,0.31%,0.29%,0.11%
41,ML,0.28%,0.27%,0.31%
42,J,0.25%,0.28%,0.21%
43,Oz,0.25%,0.23%,0.09%
44,Eiffel,0.23%,0.22%,0.21%
45,Groovy,0.23%,0.15%,0.12%
46,ActionScript,0.21%,0.22%,0.13%
47,Awk,0.17%,0.18%,0.28%
48,Transact-SQL,0.17%,0.14%,0.07%
49,Focus,0.16%,0.16%,0.22%
50,XSLT,0.16%,0.06%,0.03%
51,Icon,0.15%,0.14%,0.14%
52,YACC,0.15%,0.18%,0.01%
53,PL/I,0.15%,0.14%,0.17%
54,RPG (OS/400),0.14%,0.14%,0.26%
55,VBScript,0.14%,0.14%,0.17%
56,Caml/F#,0.13%,0.10%,0.09%
57,IDL,0.13%,0.14%,0.11%
58,MUMPS,0.12%,0.12%,0.12%
59,VHDL,0.12%,0.12%,0.10%
60,PowerBuilder,0.12%,0.11%,0.04%
61,Clojure,0.11%,0.11%,0.12%
62,LabWindows/CVI,0.11%,0.11%,0.01%
63,ColdFusion,0.11%,0.11%,0.09%
64,MAX/MSP,0.11%,0.08%,0.03%
65,SIGNAL,0.11%,0.12%,0.06%
66,OpenEdge ABL,0.10%,0.08%,0.00%
67,Rust,0.10%,0.09%,0.02%
68,Verilog,0.09%,0.09%,0.04%
69,Occam,0.09%,0.09%,0.11%
70,Factor,0.09%,0.08%,0.08%
71,X10,0.09%,0.09%,0.09%
72,Mathematica,0.09%,0.05%,0.05%
73,Lingo,0.08%,0.07%,0.05%
74,Falcon,0.08%,0.09%,0.04%
75,Dylan,0.08%,0.08%,0.11%
76,Modula-2,0.08%,0.07%,0.09%
77,Q,0.08%,0.07%,0.09%
78,REXX,0.07%,0.07%,0.08%
79,FoxPro/xBase,0.07%,0.06%,0.01%
80,Alice,0.07%,0.05%,0.18%
81,Ocaml,0.07%,0.07%,0.08%
82,io,0.07%,0.05%,0.07%
83,PowerShell,0.06%,0.06%,0.10%
84,Tcl/Tk,0.06%,0.05%,0.06%
85,CL (OS/400),0.06%,0.04%,0.04%
86,Clipper,0.06%,0.49%,0.08%
87,Limbo,0.05%,0.05%,0.05%
88,Boo,0.05%,0.05%,0.06%
89,S-lang,0.05%,0.05%,0.06%
90,PostScript,0.05%,0.05%,0.08%
91,Metafont,0.05%,0.03%,0.00%
92,Maple,0.05%,0.03%,0.03%
93,Cg (Nvidia),0.04%,0.04%,0.05%
94,Racket,0.04%,0.04%,0.05%
95,Natural,0.04%,0.04%,0.05%
96,Parasail,0.04%,0.04%,0.00%
97,Vala,0.04%,0.04%,0.05%
98,Progress,0.04%,0.02%,0.04%
99,Modula-3,0.04%,0.03%,0.03%
100,SISAL,0.03%,0.03%,0.01%
101,SuperCollider,0.03%,0.03%,0.03%
102,MAD,0.03%,0.02%,0.03%
103,Euphoria,0.03%,0.03%,0.04%
104,Coffeescript,0.02%,0.02%,0.01%
105,AppleScript,0.02%,0.02%,0.04%
106,Fantom,0.02%,0.02%,0.04%
107,BlitzMax,0.02%,0.02%,0.02%
108,Cyclone,0.02%,0.02%,0.02%
109,Nemerle,0.02%,0.01%,0.00%
110,Gambas,0.02%,0.02%,--
111,Avenue,0.01%,0.01%,0.02%
112,Rebol,0.01%,0.01%,0.02%
113,Genie,0.01%,0.01%,0.02%
114,XQuery,0.01%,0.01%,0.01%
115,Scriptol,0.01%,0.01%,0.01%
116,ATS,0.01%,0.01%,0.01%
117,Csound,0.01%,0.01%,0.01%
118,NetRexx,0.01%,0.01%,0.01%
119,Informix/4GL,0.01%,0.00%,0.01%
120,TeX / LaTeX,0.00%,0.00%,0.01%
121,Scilab,0.00%,0.00%,0.01%
122,Harbour,0.00%,0.00%,0.00%
123,JavaFX Script,0.00%,0.30%,0.01%
